date,average_gas_per_transaction
2021-09-01,6442308403120.005
2021-08-31,12049066596128.945
2021-08-30,4299161785500.909
2021-08-29,4302769059582.303
2021-08-28,5376850078578.976
2021-08-27,4586258442832.852
2021-08-26,3936967832128.5806
2021-08-25,4612196200524.078
2021-08-24,4384521877275.4395
2021-08-23,5014860905757.771
2021-08-22,4260499044984.8477
2021-08-21,4057091499742.4434
2021-08-20,4205871180484.753
2021-08-19,4003470568596.6465
2021-08-18,4255552264133.655
2021-08-17,3763996857897.5903
2021-08-16,4090708774649.0825
2021-08-15,4324663659113.3457
2021-08-14,4090114525008.912
2021-08-13,4858167195270.805
2021-08-12,4044711525851.392
2021-08-11,4663861598093.972
2021-08-10,4166067920317.9893
2021-08-09,3913398780768.33
2021-08-08,4364642221591.183
2021-08-07,4195669072416.772
2021-08-06,4043654406743.8184
2021-08-05,4160527551230.3384
2021-08-04,3544774929223.032
2021-08-03,3852097240965.6826
2021-08-02,4022597859575.1523
2021-08-01,4954161713066.035
2021-07-31,4224717126584.663
2021-07-30,5051558698056.577
2021-07-29,5694656424760.566
2021-07-28,4761858120184.89
2021-07-27,3618113636689.2715
2021-07-26,4478722466525.902
2021-07-25,4021792307692.313
2021-07-24,3785348153482.161
2021-07-23,3365774648775.364
2021-07-22,3700264385087.702
2021-07-21,4204138264540.5835
2021-07-20,3829296259338.853
2021-07-19,3713754272750.157
2021-07-18,4275002223660.855
2021-07-17,5394586090725.806
2021-07-16,6984272945551.403
2021-07-15,6870736966212.275
2021-07-14,10322989651613.174
2021-07-13,6947978177030.822
2021-07-12,6167793506182.422
2021-07-11,4691036482235.1045
2021-07-10,4571488217491.374
2021-07-09,4937731468814.882
2021-07-08,4127887000151.3076
2021-07-07,4995331356293.953
2021-07-06,5830445443496.631
2021-07-05,5969906955990.874
2021-07-04,20619484876901.22
2021-07-03,4119837018365.1304
2021-07-02,4849806697884.914
2021-07-01,6215159082982.649
2021-06-30,5786897901359.298
2021-06-29,5323960582015.647
2021-06-28,5284368463210.896
2021-06-27,21014750349319.773
2021-06-26,5064981322110.194
2021-06-25,5993141079187.492
2021-06-24,5688717639340.097
2021-06-23,6148728478053.554
2021-06-22,6286858654750.727
2021-06-21,10553941273007.271
2021-06-20,24085769289178.04
2021-06-19,7164989619738.242
2021-06-18,7195553523900.772
2021-06-17,6100750957249.584
2021-06-16,6852397608510.266
2021-06-15,6458856260350.223
2021-06-14,6629207244920.394
2021-06-13,21132405908527.75
2021-06-12,5040166049298.72
2021-06-11,5386869256833.056
2021-06-10,5954806866173.225
2021-06-09,6050827554495.247
2021-06-08,6433551409978.267
2021-06-07,14160559986457.848
2021-06-06,17589210721124.688
2021-06-05,9240952026417.771
2021-06-04,9892394346342.064
2021-06-03,18824253156680.87
2021-06-02,12750307237172.344
2021-06-01,18778973438113.984
2021-05-31,8057428383031.631
2021-05-30,21087090973499.29
2021-05-29,7256726601571.799
2021-05-28,7318191557916.271
2021-05-27,8634550135125.483
2021-05-26,5766068305380.064
2021-05-25,5757223219006.239
2021-05-24,7160331159227.622
2021-05-23,23830554338108.94
2021-05-22,11545153307203.41
2021-05-21,11559751357666.73
2021-05-20,8385009481801.566
2021-05-19,9724768388405.684
2021-05-18,8850801813556.617
2021-05-17,23600605290481.562
2021-05-16,13403486225482.857
2021-05-15,5917643606836.463
2021-05-14,28913057773691.293
2021-05-13,18623191032416.98
2021-05-12,18930591894354.957
2021-05-11,12192681033290.5
2021-05-10,4103368549202.523
2021-05-09,17536144686066.549
2021-05-08,3427638061976.6294
2021-05-07,3495649277170.317
2021-05-06,3996629705888.158
2021-05-05,5121034891213.762
2021-05-04,3962483724444.1885
2021-05-03,5414141435632.964
2021-05-02,28117479829888.57
2021-05-01,23211521404803.734
2021-04-30,24027997562941.094
2021-04-29,22715661603394.12
2021-04-28,22880158054086.01
2021-04-27,22400209539193.664
2021-04-26,25157693552250.855
2021-04-25,32454757269314.465
2021-04-24,26338725084525.465
2021-04-23,25061813253921.855
2021-04-22,21904653188033.176
2021-04-21,11146724174990.744
2021-04-20,21744667505685.676
2021-04-19,11693192460198.062
2021-04-18,23343775624565.324
2021-04-17,21910161886988.523
2021-04-16,20687427745377.0
2021-04-15,16989778126438.17
2021-04-14,24662659175835.797
2021-04-13,26039200038668.61
2021-04-12,14768407671140.273
2021-04-11,14205832747302.654
2021-04-10,4928793015688.793
2021-04-09,15772875566850.033
2021-04-08,22852679790212.17
2021-04-07,16536986756706.672
2021-04-06,18034131484633.47
2021-04-05,14322231659231.625
2021-04-04,17844319482497.125
2021-04-03,9099873147211.396
2021-04-02,14511864039411.623
2021-04-01,9749341456406.367
2021-03-31,6612584877341.242
2021-03-30,5517875576703.293
2021-03-29,6302931897923.302
2021-03-28,6687388098306.277
2021-03-27,7778381345105.662
2021-03-26,5433333399505.725
2021-03-25,4881773217674.016
2021-03-24,6880507977543.344
2021-03-23,5021924841089.257
2021-03-22,5193797349493.136
2021-03-21,6137146440960.689
2021-03-20,5159337904599.556
2021-03-19,4864129884703.259
2021-03-18,4669848026079.368
2021-03-17,5322189122434.31
2021-03-16,4194651801651.193
2021-03-15,4826386362293.795
2021-03-14,5024220260942.515
2021-03-13,4975002139524.215
2021-03-12,5501546332404.449
2021-03-11,5172141039267.785
2021-03-10,5877549892948.995
2021-03-09,5086341284304.137
2021-03-08,5335787369473.749
2021-03-07,7046756422562.849
2021-03-06,6077956211188.11
2021-03-05,6862750270226.37
2021-03-04,7220474326897.4795
2021-03-03,8945063723602.568
2021-03-02,6445168094413.792
2021-03-01,7663109281178.139
2021-02-28,6343119492344.457
2021-02-27,5921338084165.486
2021-02-26,5233263489131.242
2021-02-25,6290184035449.179
2021-02-24,8753016594074.408
2021-02-23,6024332495016.512
2021-02-22,6837412855487.647
2021-02-21,6712343208862.72
2021-02-20,6690205970999.165
2021-02-19,5489929155648.1045
2021-02-18,5614983282906.647
2021-02-17,7097079046030.614
2021-02-16,5019956702614.228
2021-02-15,5137327941299.812
2021-02-14,5188920690371.044
2021-02-13,5654425975184.2295
2021-02-12,4827995758941.444
2021-02-11,4142339984358.8306
2021-02-10,7899436268288.37
2021-02-09,5509199902311.257
2021-02-08,6372851054530.459
2021-02-07,6376316468896.192
2021-02-06,7401410235247.268
2021-02-05,7926969970615.115
2021-02-04,477202137607.96454
2021-02-03,1186888076476.98
2021-02-02,4585696691270.676
2021-02-01,4279846741854.6235
2021-01-31,4156861097807.5405
2021-01-30,4197568013893.2524
2021-01-29,4024090581361.071
2021-01-28,3149169758034.49
2021-01-27,3319972054362.2393
2021-01-26,3506904731231.5127
2021-01-25,4107235216367.7393
2021-01-24,4160175156087.4116
2021-01-23,4237019484903.927
2021-01-22,3933392583573.172
2021-01-21,4271820646649.806
2021-01-20,4239806934221.3228
2021-01-19,4532639196479.88
2021-01-18,4673993263138.845
2021-01-17,4779333390077.988
2021-01-16,4904517419367.204
2021-01-15,4428459170018.034
2021-01-14,5064791564957.002
2021-01-13,5239799608183.261
2021-01-12,4941315858300.9795
2021-01-11,5340895407183.526
2021-01-10,5439939017386.183
2021-01-09,4311408848254.896
2021-01-08,4442244452966.076
2021-01-07,4522998855525.883
2021-01-06,4984078146278.871
2021-01-05,4572437707529.223
2021-01-04,4320784899787.53
2021-01-03,4289310683255.447
2021-01-02,4126427739015.588
2021-01-01,4561544468160.503
2020-12-31,4188961293620.0938
2020-12-30,4307379200485.2334
2020-12-29,4754568360553.697
2020-12-28,4412313786416.375
2020-12-27,4618809463025.647
2020-12-26,6496687595216.425
2020-12-25,5770820393090.588
2020-12-24,7335953053458.331
2020-12-23,5398191264952.453
2020-12-22,5857147003929.353
2020-12-21,4751442010665.978
2020-12-20,4903851898335.161
2020-12-19,4584115076529.432
2020-12-18,4323066498089.201
2020-12-17,3715848764319.3765
2020-12-16,4009433742731.2104
2020-12-15,4081670908106.2847
2020-12-14,4091171862047.167
2020-12-13,3742343559997.7017
2020-12-12,4174308083246.616
2020-12-11,3697455103723.5093
2020-12-10,4440994754979.6
2020-12-09,4248327507221.9805
2020-12-08,4608657648075.513
2020-12-07,4341349463333.8003
2020-12-06,4800078076563.522
2020-12-05,5266752393453.888
2020-12-04,3908276036318.719
2020-12-03,3472591318186.719
2020-12-02,3507686896100.8286
2020-12-01,3862001754681.6494
2020-11-30,4104991867728.7725
2020-11-29,3788806360082.002
2020-11-28,3200841998840.3706
2020-11-27,3221675326145.7285
2020-11-26,2992205268676.4766
2020-11-25,4258629836152.2886
2020-11-24,5134694714509.581
2020-11-23,3414260260515.083
2020-11-22,3558823158990.13
2020-11-21,4821101764786.549
2020-11-20,4375987522231.647
2020-11-19,3659918853646.4707
2020-11-18,3544003284106.816
2020-11-17,5067470045578.12
2020-11-16,4361365220642.9277
2020-11-15,4525150455274.261
2020-11-14,3716101072094.394
2020-11-13,5159734607059.245
2020-11-12,5486282373088.415
2020-11-11,3503386798518.197
2020-11-10,4770209065272.33
2020-11-09,4823179843365.879
2020-11-08,2769402109618.5767
2020-11-07,2672840990078.7104
2020-11-06,2214527021685.8706
2020-11-05,2669370520293.6094
2020-11-04,2329509869851.2783
2020-11-03,2681978714000.392
2020-11-02,3267387032015.843
2020-11-01,3427552489451.493
2020-10-31,2950146308008.8145
2020-10-30,3119233877595.7573
2020-10-29,3474489024125.18
2020-10-28,3696720718409.2383
2020-10-27,3575358305176.374
2020-10-26,3611097571063.329
2020-10-25,3849224038055.5283
2020-10-24,5015210935381.339
2020-10-23,6269424001255.344
2020-10-22,4466785134833.397
2020-10-21,18059955245832.754
2020-10-20,16203800347730.467
2020-10-19,4744754866304.683
2020-10-18,3340270605304.689
2020-10-17,4573994070076.417
2020-10-16,4849103908131.206
2020-10-15,4250212031636.4355
2020-10-14,2704876148366.576
2020-10-13,2622968200500.0063
2020-10-12,3022976924676.097
2020-10-11,2292396561005.728
2020-10-10,1411059407452.647
2020-10-09,799615675310.3109
2020-10-08,940998953271.0627
2020-10-07,1205000472000.269
2020-10-06,1546428443619.7324
2020-10-05,1362600265032.2996
2020-10-04,342340285332.42163
2020-10-03,280186024418.5638
2020-10-02,332800221887.62964
2020-10-01,336064219029.95667
2020-09-30,272535340361.55493
2020-09-29,325149590868.45905
2020-09-28,509581614244.2542
2020-09-27,387819872297.5239
2020-09-26,344275335541.22394
2020-09-25,261609857789.26956
2020-09-24,406814908311.12976
2020-09-23,414253448002.53613
2020-09-22,389365051834.9172
2020-09-21,345864692901.80194
2020-09-20,574580561220.8994
2020-09-19,275408968479.2896
2020-09-18,315617240545.2464
2020-09-17,420836045005.6662
2020-09-16,476196664681.35803
2020-09-15,669191268020.971
2020-09-14,541820816769.0636
2020-09-13,535605769906.5294
2020-09-12,490089855384.50525
2020-09-11,481294628165.83344
2020-09-10,376680671243.3275
2020-09-09,352571009322.07886
2020-09-08,478684216409.5707
2020-09-07,381027740679.97296
2020-09-06,307840359817.77576
2020-09-05,333103483481.0315
2020-09-04,330270146235.2186
2020-09-03,326187772579.49396
2020-09-02,576884401274.619
2020-09-01,469181524728.01276
2020-08-31,595287269619.5005
2020-08-30,641972106943.3337
2020-08-29,409919889179.38104
2020-08-28,426024695279.31006
2020-08-27,672558829769.768
2020-08-26,352342480243.88684
2020-08-25,302724671938.2434
2020-08-24,352737060644.6889
2020-08-23,371151494380.3614
2020-08-22,382780365972.6686
2020-08-21,376707271857.9252
2020-08-20,350620311246.00244
2020-08-19,379465548115.852
2020-08-18,347492346364.52313
2020-08-17,344596230634.0876
2020-08-16,410353601971.30316
2020-08-15,532029055088.7816
2020-08-14,412915353908.2265
2020-08-13,410872389672.8933
2020-08-12,408754295733.4885
2020-08-11,411685093280.2031
2020-08-10,550014655272.4193
2020-08-09,478716008472.2605
2020-08-08,392488700755.5321
2020-08-07,452735704167.59705
2020-08-06,482610988963.62897
2020-08-05,416488995485.3256
2020-08-04,385196732854.52704
2020-08-03,504404313871.3288
2020-08-02,413515967528.52026
2020-08-01,588245838715.633
2020-07-31,442984710893.9014
2020-07-30,1576668737123.4478
2020-07-29,919367626439.6779
2020-07-28,2135233079497.3696
2020-07-27,1634205051194.5588
2020-07-26,451772154679.94684
2020-07-25,489479155848.97125
2020-07-24,491015769669.80945
2020-07-23,600233934097.9434
2020-07-22,451705956309.91626
2020-07-21,497657343217.78564
2020-07-20,470892511975.79596
2020-07-19,454443681470.81616
2020-07-18,372749171743.0813
2020-07-17,541645618757.04443
2020-07-16,461132859763.48016
2020-07-15,546340116639.78265
2020-07-14,508875576969.79517
2020-07-13,501135430038.5112
2020-07-12,511095238095.2378
2020-07-11,592184962080.1726
2020-07-10,628003742326.1284
2020-07-09,456275177418.0693
2020-07-08,503591863824.4713
2020-07-07,493146697630.481
2020-07-06,513605977563.9698
2020-07-05,544192667436.4868
2020-07-04,515293970536.5158
2020-07-03,520456724877.4509
2020-07-02,444405872697.42847
2020-07-01,350486173593.26154
2020-06-30,3324024526300.0483
2020-06-29,16869034635375.057
2020-06-28,1805490871369.2954
2020-06-27,11825207463809.006
2020-06-26,14542122341813.451
2020-06-25,14511171380864.91
2020-06-24,13513066236697.846
2020-06-23,13546438945601.805
2020-06-22,16579895618317.82
2020-06-21,9309438235294.123
2020-06-20,11796366273100.635
2020-06-19,11532868945056.342
2020-06-18,12998158216500.998
2020-06-17,12386446261306.236
2020-06-16,10884629756350.65
2020-06-15,10950003606161.234
2020-06-14,10868303076263.15
2020-06-13,9636596136814.139
2020-06-12,8708363449009.431
2020-06-11,9607191610088.88
2020-06-10,9205222544271.36
2020-06-09,7306971296770.878
2020-06-08,5552827907000.146
2020-06-07,6869091823424.419
2020-06-06,6201778621454.833
2020-06-05,5536120072111.126
2020-06-04,6058183137497.437
2020-06-03,5798564710940.858
2020-06-02,5324908393518.696
2020-06-01,5442823966797.446
2020-05-31,4274759225166.0967
2020-05-30,4148434278403.692
2020-05-29,4819611055841.512
2020-05-28,4909926578577.999
2020-05-27,5756288047921.7295
2020-05-26,4786757194846.494
2020-05-25,472678068580.61
2020-05-24,1073602673980.1149
2020-05-23,1029704135935.021
2020-05-22,448720110971.5229
2020-05-21,381539919373.523
2020-05-20,361212499376.0294
2020-05-19,287585988492.96594
2020-05-18,1077978022492.9717
2020-05-17,346794935145.15125
2020-05-16,323539200988.87775
2020-05-15,364969433944.65515
2020-05-14,294422416060.31616
2020-05-13,928926318727.323
2020-05-12,383734882571.0764
2020-05-11,875188507229.0198
2020-05-10,1848834650924.7783
