date,total_volume
2021-07-26,526141168316370753944.000000000
2021-07-25,336105696746088591201.000000000
2021-07-24,148536479837713834472.000000000
2021-07-23,111210499329312642860.000000000
2021-07-22,105727274726633269529.000000000
2021-07-21,197988959163689630183.000000000
2021-07-20,208532241311141290930.000000000
2021-07-19,170646055774584364959.000000000
2021-07-18,64659502000915389250.000000000
2021-07-17,133455490350772439559.000000000
2021-07-16,152098576437353827559.000000000
2021-07-15,217072804224283254030.000000000
2021-07-14,32140684437989965779.000000000
2021-07-13,91970102583825562313.000000000
2021-07-12,113443589216914579049.000000000
2021-07-11,102259850128305850760.000000000
2021-07-10,91133161420082715315.000000000
2021-07-09,140176682876674810960.000000000
2021-07-08,120953009140857729504.000000000
2021-07-07,219535978014841433000.000000000
2021-07-06,176484302780323498310.000000000
2021-07-05,171726551656705183164.000000000
2021-07-04,182629683114202937364.000000000
2021-07-03,110203633148400967383.000000000
2021-07-02,191950705602679498803.000000000
2021-07-01,176224482490837162450.000000000
2021-06-30,234655474662843798382.000000000
2021-06-29,399548798846251181073.000000000
2021-06-28,470638547895761036528.000000000
2021-06-27,119129518915110121245.000000000
2021-06-26,119249240514924440612.000000000
2021-06-25,104709799452205998438.000000000
2021-06-24,138145021578317781490.000000000
2021-06-23,143121671178240467422.000000000
2021-06-22,242694933432660641734.000000000
2021-06-21,219920360726343817921.000000000
2021-06-20,97922687909400018657.000000000
2021-06-19,127440963207478204129.000000000
2021-06-18,144135975351681796666.000000000
2021-06-17,39719304311397597012.000000000
2021-06-16,145887711617823495242.000000000
2021-06-15,135050534193367674422.000000000
2021-06-14,116598609312355368211.000000000
2021-06-13,124416294769676030030.000000000
2021-06-12,134223720361191892928.000000000
2021-06-11,233690265234999297172.000000000
2021-06-10,149407023750518653795.000000000
2021-06-09,187060984654289962786.000000000
2021-06-08,701777830399504274096.000000000
2021-06-07,179422449845256263179.000000000
2021-06-06,232084159984026075143.000000000
2021-06-05,142973507685575882311.000000000
2021-06-04,343225162399960222501.000000000
2021-06-03,979118759535637896168.000000000
2021-06-02,247913925905441672981.000000000
2021-06-01,157321877054428469046.000000000
2021-05-31,125243554453021324838.000000000
2021-05-30,163588187419411645943.000000000
2021-05-29,290205176224735724696.000000000
2021-05-28,359531126054430933994.000000000
2021-05-27,230723082773570177236.000000000
2021-05-26,309398854220152848343.000000000
2021-05-25,229600297065797778766.000000000
2021-05-24,288345284245069943240.000000000
2021-05-23,140374104677867742769.000000000
2021-05-22,42212141212163636919.000000000
2021-05-21,59351724505336002964.000000000
2021-05-20,159351883070056830923.000000000
2021-05-19,445822893883906755048.000000000
2021-05-18,206894932319603106179.000000000
2021-05-17,133641342519405040002.000000000
2021-05-16,103073843095966529815.000000000
2021-05-15,111362117824468375983.000000000
2021-05-14,94875150670725329336.000000000
2021-05-13,109217241366819199981.000000000
2021-05-12,96049245144623519131.000000000
2021-05-11,44239449728770670260.000000000
2021-05-10,205458418136246583024.000000000
2021-05-09,203380980450530941041.000000000
2021-05-08,137128865051566474015.000000000
2021-05-07,322162051408295689718.000000000
2021-05-06,424647280116003922712.000000000
2021-05-05,308971473890830415331.000000000
2021-05-04,232614409143209070624.000000000
2021-05-03,190136471616115132807.000000000
2021-05-02,247467005283153393842.000000000
2021-05-01,295651457025202632984.000000000
2021-04-30,305776916657962965524.000000000
2021-04-29,618121306517892263674.000000000
2021-04-28,397376432770947850479.000000000
2021-04-27,502568739536336696622.000000000
2021-04-26,260172520978920067552.000000000
2021-04-25,172677671623705944722.000000000
2021-04-24,138222091817762130955.000000000
2021-04-23,385338947675026438568.000000000
2021-04-22,253236493320250515314.000000000
2021-04-21,256249840797573244637.000000000
2021-04-20,247855735955790041485.000000000
2021-04-19,334508687677156227813.000000000
2021-04-18,261783921822082302928.000000000
2021-04-17,364649416625619306166.000000000
2021-04-16,277714007421401904467.000000000
2021-04-15,263973856106543161890.000000000
2021-04-14,263563892942787439764.000000000
2021-04-13,291218366800087957921.000000000
2021-04-12,238781063696738078455.000000000
2021-04-11,112584516657951244773.000000000
2021-04-10,196431807138275251885.000000000
2021-04-09,238163415088531439160.000000000
2021-04-08,300480870577283069563.000000000
2021-04-07,404657933978172877418.000000000
2021-04-06,323685547241604650800.000000000
2021-04-05,326970666654627619043.000000000
2021-04-04,413571450749448926928.000000000
2021-04-03,206351322581980380717.000000000
2021-04-02,354207420029017483314.000000000
2021-04-01,193009291203117213774.000000000
2021-03-31,314157738749770154057.000000000
2021-03-30,229945812476069660043.000000000
2021-03-29,241467023958370567129.000000000
2021-03-28,195075051963214147302.000000000
2021-03-27,217853700360980986167.000000000
2021-03-26,190205129859827177521.000000000
2021-03-25,310603574329458629902.000000000
2021-03-24,303102352339873190449.000000000
2021-03-23,308039432561712426093.000000000
2021-03-22,240404540219282771605.000000000
2021-03-21,253520751976779057227.000000000
2021-03-20,245220565658256587802.000000000
2021-03-19,294579000944851309381.000000000
2021-03-18,473397061535936057239.000000000
2021-03-17,468326375710355590370.000000000
2021-03-16,188341849715790139764.000000000
2021-03-15,230075226645793665348.000000000
2021-03-14,283179895944411544152.000000000
2021-03-13,251123636080255096718.000000000
2021-03-12,440974549773714786557.000000000
2021-03-11,610975920876844092237.000000000
2021-03-10,313547960951887975728.000000000
2021-03-09,233545981918149565459.000000000
2021-03-08,196338063203511614735.000000000
2021-03-07,157602347773786204329.000000000
2021-03-06,148288185332520899991.000000000
2021-03-05,209035844489122317238.000000000
2021-03-04,267323479833099841401.000000000
2021-03-03,256202836519630079030.000000000
2021-03-02,225126163988551987584.000000000
2021-03-01,216249550637140584154.000000000
2021-02-28,185062197887323298523.000000000
2021-02-27,168133590976265091652.000000000
2021-02-26,211952607306863949493.000000000
2021-02-25,303445369167344820054.000000000
2021-02-24,337987184395276793839.000000000
2021-02-23,281023471777322968456.000000000
2021-02-22,349504994080161867550.000000000
2021-02-21,229896109556709056843.000000000
2021-02-20,213065564139304034457.000000000
2021-02-19,179572923359961880743.000000000
2021-02-18,213449631058036911464.000000000
2021-02-17,331450317423206555107.000000000
2021-02-16,271983475819989559106.000000000
2021-02-15,180468844704941108226.000000000
2021-02-14,183214325923777500187.000000000
2021-02-13,266461110785489682153.000000000
2021-02-12,175811396371506623210.000000000
2021-02-11,212130590201582006630.000000000
2021-02-10,381278301592587182521.000000000
2021-02-09,352400934409867879186.000000000
2021-02-08,164148306899392280832.000000000
2021-02-07,141115451447074525375.000000000
2021-02-06,73880709051123905770.000000000
2021-02-05,140730680956650450448.000000000
2021-02-04,152161833585011188195.000000000
2021-02-03,81603129139823779118.000000000
2021-02-02,192205773135014865908.000000000
2021-02-01,187676784453797565781.000000000
2021-01-31,232575591812960493264.000000000
2021-01-30,241449384829650234786.000000000
2021-01-29,221299223545743591020.000000000
2021-01-28,118152424457657656293.000000000
2021-01-27,150216222864531654983.000000000
2021-01-26,174914937763917868488.000000000
2021-01-25,231822548493816030597.000000000
2021-01-24,153728479608322605046.000000000
2021-01-23,123892969762267694997.000000000
2021-01-22,202998937405522405630.000000000
2021-01-21,193819999566861702408.000000000
2021-01-20,250562230977412775546.000000000
2021-01-19,206075680671662851149.000000000
2021-01-18,196935025968559312416.000000000
2021-01-17,189545890326994884678.000000000
2021-01-16,169960297433083481920.000000000
2021-01-15,229020636175620849614.000000000
2021-01-14,194428592890049938529.000000000
2021-01-13,341500059966649160079.000000000
2021-01-12,228288153594485810583.000000000
2021-01-11,333990538037958066244.000000000
2021-01-10,178398438669456931971.000000000
2021-01-09,225417652185024503007.000000000
2021-01-08,217927053739414112590.000000000
2021-01-07,186298157105717732345.000000000
2021-01-06,253001314554138111264.000000000
2021-01-05,252864012519755232068.000000000
2021-01-04,302852113922635456359.000000000
2021-01-03,224169482857051635615.000000000
2021-01-02,144529999605688217587.000000000
2021-01-01,162840596262340934979.000000000
2020-12-31,477316634603228973602.000000000
2020-12-30,213054947522720323544.000000000
2020-12-29,207075748944072631428.000000000
2020-12-28,312391927291411981011.000000000
2020-12-27,341935878806000590865.000000000
2020-12-26,189780087525097211816.000000000
2020-12-25,73152861654002934624.000000000
2020-12-24,301737136902657566646.000000000
2020-12-23,630974221332101245782.000000000
2020-12-22,353035367414548710743.000000000
2020-12-21,289536536879224580288.000000000
2020-12-20,266481526558621559700.000000000
2020-12-19,300161484721824124569.000000000
2020-12-18,334870869706460936330.000000000
2020-12-17,338572697418963898203.000000000
2020-12-16,326922179173112520610.000000000
2020-12-15,186356144922555724314.000000000
2020-12-14,184104732499310903807.000000000
2020-12-13,161397115876021060120.000000000
2020-12-12,156724812610173783473.000000000
2020-12-11,230570531600995520756.000000000
2020-12-10,299405273277632410400.000000000
2020-12-09,236732325075090417598.000000000
2020-12-08,290381968097423093711.000000000
2020-12-07,228287114630769850545.000000000
2020-12-06,271335680516707606345.000000000
2020-12-05,198203277086238643355.000000000
2020-12-04,231865203105613794804.000000000
2020-12-03,270581852208974884980.000000000
2020-12-02,240651375285130693580.000000000
2020-12-01,239731720488889422711.000000000
2020-11-30,243049553854850155717.000000000
2020-11-29,206425666191157470608.000000000
2020-11-28,171268114177363658071.000000000
2020-11-27,346905740078889010329.000000000
2020-11-26,447859527696818306739.000000000
2020-11-25,452503787016835173054.000000000
2020-11-24,280928450165170390430.000000000
2020-11-23,215809647531252921286.000000000
