date,volume
2022-04-27,517521805.201815467
2022-04-26,770133256.2004942
2022-04-25,675969908.426199792
2022-04-24,311779693.824502169
2022-04-23,219386764.133902958
2022-04-22,566452421.399180857
2022-04-21,889286581.058469499
2022-04-20,968278434.421438268
2022-04-19,513278503.106801702
2022-04-18,398028649.63385746
2022-04-17,412486566.53312353
2022-04-16,257858884.476237789
2022-04-15,504082030.453659919
2022-04-14,621541475.341589254
2022-04-13,513164337.46800847
2022-04-12,677458792.534297078
2022-04-11,739331353.117021976
2022-04-10,494251465.308812066
2022-04-09,713248325.152610048
2022-04-08,603490434.936797854
2022-04-07,408169302.505648845
2022-04-06,754415564.850472032
2022-04-05,644068567.005976056
2022-04-04,755257467.697935766
2022-04-03,741476981.058872643
2022-04-02,760624460.867320342
2022-04-01,1920930137.339228283
2022-03-31,2180501382.983342003
2022-03-30,2253435911.275812641
2022-03-29,762683726.46906215
2022-03-28,1275186415.578023683
2022-03-27,1664743622.705799335
2022-03-26,1544897751.736572197
2022-03-25,193292330.142612518
2022-03-24,199733217.270200347
2022-03-23,322054588.65142588
2022-03-22,185959331.786310764
2022-03-21,158020486.561609526
2022-03-20,117194251.669399286
2022-03-19,127121506.00103437
2022-03-18,145230168.686392073
2022-03-17,150986396.463059509
2022-03-16,137018291.470737983
2022-03-15,149369311.309911977
2022-03-14,150378385.712825514
2022-03-13,160266250.420223998
2022-03-12,136920558.34529104
2022-03-11,302207406.343929404
2022-03-10,3537572807.024488547
2022-03-09,278402970.194267529
2022-03-08,220041050.295074553
2022-03-07,194770792.122913746
2022-03-06,156197584.366963027
2022-03-05,90701636.51338581
2022-03-04,158229286.547716062
2022-03-03,212269489.656591813
2022-03-02,204475281.173660579
2022-03-01,441086277.202334235
2022-02-28,251045151.596835189
2022-02-27,217439097.929780055
2022-02-26,212013871.258603161
2022-02-25,250603969.722385888
2022-02-24,413860608.752805493
2022-02-23,282402614.836030337
2022-02-22,338323234.190237867
2022-02-21,197071820.809209307
2022-02-20,165389473.679198653
2022-02-19,159614778.157514964
2022-02-18,160962823.177639222
2022-02-17,168286988.745313076
2022-02-16,155008381.163325774
2022-02-15,159688648.811156462
2022-02-14,204917067.578652631
2022-02-13,131620264.4827664
2022-02-12,170160343.800131744
2022-02-11,202137176.950787876
2022-02-10,165271822.908643854
2022-02-09,221137339.980085172
2022-02-08,414967357.14317972
2022-02-07,295366567.401110983
2022-02-06,187136844.994255747
2022-02-05,227056011.216368765
2022-02-04,484441165.062255894
2022-02-03,360740077.810045395
2022-02-02,187336396.106133808
2022-02-01,281263992.911553708
2022-01-31,231094026.259781939
2022-01-30,206663710.082250692
2022-01-29,170699067.010552674
2022-01-28,227029809.883635333
2022-01-27,258893880.601239972
2022-01-26,688856344.967295968
2022-01-25,340366989.078372818
2022-01-24,279887734.769298605
2022-01-23,293322496.003921068
2022-01-22,354533463.707092743
2022-01-21,444356574.916508306
2022-01-20,455108062.437844154
2022-01-19,329602982.558430382
2022-01-18,178375431.766845893
2022-01-17,208438887.354310721
2022-01-16,212406310.417140721
2022-01-15,199180868.69207521
2022-01-14,186859922.254821489
2022-01-13,323645767.061329818
2022-01-12,233595989.966561993
2022-01-11,152527926.533331812
2022-01-10,393671923.347786284
